"transaction_id","product_id","customer_id","transaction_date","online_order","order_status","brand","product_line","product_class","product_size","list_price","standard_cost"
77,50,763,"02.06.2017",false,Approved,WeareA2B,Standard,medium,small,"175,89","131,92"
78,80,2397,"07.11.2017",false,Approved,OHM Cycles,Touring,low,medium,"1073,07","933,84"
81,84,759,"07.10.2017",true,Approved,Giant Bicycles,Road,medium,medium,"792,9","594,68"
83,0,3398,"01.04.2017",true,Approved,OHM Cycles,Standard,medium,medium,"235,63","125,07"
84,33,3297,"02.11.2017",true,Approved,Giant Bicycles,Standard,medium,small,"1311,44","1167,18"
88,31,1390,"06.08.2017",false,Approved,WeareA2B,Standard,medium,medium,"752,64","205,36"
89,0,2682,"04.04.2017",true,Approved,OHM Cycles,Road,high,large,"12,01","7,21"
110,36,1076,"04.11.2017",false,Approved,Solex,Standard,low,medium,"945,04","507,58"
113,98,3296,"07.06.2017",true,Approved,Trek Bicycles,Standard,high,medium,"358,39","215,03"
115,76,1779,"01.05.2017",false,Approved,WeareA2B,Standard,low,medium,"642,31","513,85"
121,25,50,"04.12.2017",false,Approved,Giant Bicycles,Road,medium,medium,"1538,99","829,65"
122,24,1038,"01.12.2017",true,Approved,Solex,Road,medium,large,"1777,8","820,78"
123,31,1453,"05.03.2017",true,Approved,WeareA2B,Standard,medium,medium,"752,64","205,36"
125,22,3382,"03.01.2017",true,Approved,Solex,Standard,medium,medium,"575,27","431,45"
126,53,773,"01.04.2017",false,Approved,OHM Cycles,Standard,medium,medium,"795,34","101,58"
129,50,1397,"05.06.2017",false,Approved,WeareA2B,Standard,medium,small,"175,89","131,92"
130,44,2134,"04.09.2017",false,Approved,WeareA2B,Standard,medium,medium,"1769,64","108,76"
133,93,1282,"02.09.2017",true,Approved,WeareA2B,Standard,medium,medium,"1065,03","230,09"
138,29,1940,"02.08.2017",false,Approved,WeareA2B,Standard,medium,medium,"1065,03","230,09"
145,7,2992,"07.06.2017",true,Approved,Trek Bicycles,Road,low,medium,"980,37","234,43"
146,41,3261,"06.04.2017",true,Approved,Solex,Road,medium,medium,"416,98","312,74"
154,3,3383,"06.04.2017",true,Approved,Trek Bicycles,Standard,medium,large,"2091,47","388,92"
155,56,982,"04.11.2017",true,Approved,Norco Bicycles,Mountain,low,small,"688,63","612,88"
168,87,2267,"02.02.2017",false,Approved,Giant Bicycles,Standard,high,medium,"1179","707,40"
169,97,456,"02.05.2017",false,Approved,Solex,Standard,medium,large,"202,62","151,96"
183,46,2656,"07.01.2017",false,Approved,Solex,Standard,low,medium,"1289,85","74,51"
184,71,2409,"05.07.2017",true,Approved,Solex,Standard,high,large,"1842,92","1105,75"
186,17,2582,"08.11.2017",true,Approved,Solex,Standard,high,medium,"1024,66","614,80"
194,25,1423,"02.05.2017",false,Approved,Giant Bicycles,Road,medium,medium,"1538,99","829,65"
198,74,1017,"02.02.2017",false,Approved,WeareA2B,Standard,medium,medium,"1762,96","950,52"
199,33,2123,"08.06.2017",false,Approved,Giant Bicycles,Standard,medium,small,"1311,44","1167,18"
201,0,3208,"05.09.2017",true,Approved,Trek Bicycles,Road,medium,medium,"533,51","400,13"
204,81,1598,"03.07.2017",true,Approved,Norco Bicycles,Standard,medium,small,"586,45","521,94"
206,5,141,"05.05.2017",false,Approved,Giant Bicycles,Standard,high,medium,"1129,13","677,48"
211,40,766,"07.05.2017",true,Approved,OHM Cycles,Standard,high,medium,"1458,17","874,90"
220,10,1502,"09.04.2017",true,Approved,WeareA2B,Touring,medium,medium,"1466,68","363,25"
221,35,936,"08.05.2017",false,Approved,Giant Bicycles,Standard,medium,medium,"1403,5","954,82"
222,8,939,"08.07.2017",true,Approved,Solex,Road,medium,small,"1703,52","1516,13"
228,13,821,"04.04.2017",true,Approved,Solex,Standard,medium,medium,"1163,89","589,27"
232,30,3002,"04.08.2017",false,Approved,Solex,Standard,high,medium,"748,17","448,90"
233,92,396,"01.09.2017",false,Approved,WeareA2B,Touring,medium,large,"1890,39","260,14"
234,71,550,"01.09.2017",true,Approved,Solex,Standard,high,large,"1842,92","1105,75"
235,77,1605,"02.07.2017",false,Approved,Norco Bicycles,Road,medium,large,"1240,31","795,10"
238,12,3099,"08.10.2017",false,Approved,WeareA2B,Standard,medium,medium,"1231,15","161,60"
239,61,1645,"01.10.2017",true,Approved,OHM Cycles,Standard,low,medium,"71,16","56,93"
242,57,2740,"04.12.2017",false,Approved,WeareA2B,Touring,medium,large,"1890,39","260,14"
252,78,3089,"03.12.2017",false,Approved,Giant Bicycles,Standard,medium,large,"1765,3","709,48"
259,87,142,"06.07.2017",true,Approved,Giant Bicycles,Standard,high,medium,"1179","707,40"
266,44,3467,"07.11.2017",true,Approved,WeareA2B,Standard,medium,medium,"1769,64","108,76"
275,76,2969,"03.02.2017",true,Approved,WeareA2B,Standard,low,medium,"642,31","513,85"
278,9,754,"03.06.2017",false,Approved,OHM Cycles,Road,medium,medium,"742,54","667,40"
280,93,2487,"08.04.2017",false,Approved,WeareA2B,Standard,medium,medium,"1065,03","230,09"
282,1,541,"04.05.2017",false,Approved,Giant Bicycles,Standard,medium,medium,"1403,5","954,82"
284,44,2024,"03.10.2017",true,Approved,WeareA2B,Standard,medium,medium,"1769,64","108,76"
286,56,768,"07.08.2017",true,Approved,OHM Cycles,Standard,medium,medium,"183,86","137,90"
287,36,2147,"07.02.2017",true,Approved,Solex,Standard,low,medium,"1289,85","74,51"
290,55,624,"05.04.2017",true,Approved,Trek Bicycles,Road,medium,large,"1894,19","598,76"
291,38,2302,"07.11.2017",false,Approved,Solex,Standard,medium,medium,"1577,53","826,51"
304,12,2745,"07.04.2017",false,Approved,WeareA2B,Standard,medium,medium,"1231,15","161,60"
305,77,2819,"04.01.2017",false,Approved,Norco Bicycles,Road,medium,large,"1240,31","795,10"
311,77,3260,"07.03.2017",false,Approved,WeareA2B,Standard,medium,medium,"1769,64","108,76"
312,1,1015,"04.12.2017",false,Approved,Giant Bicycles,Standard,medium,medium,"1403,5","954,82"
316,62,1414,"01.08.2017",false,Approved,Solex,Standard,medium,medium,"478,16","298,72"
323,67,87,"08.11.2017",true,Approved,Norco Bicycles,Road,medium,medium,"544,05","376,84"
332,71,1656,"02.08.2017",true,Approved,Solex,Standard,high,large,"1842,92","1105,75"
335,95,3103,"01.11.2017",false,Approved,Giant Bicycles,Standard,medium,large,"569,56","528,43"
336,55,506,"05.10.2017",true,Approved,Trek Bicycles,Road,medium,large,"1894,19","598,76"
338,32,1881,"02.01.2017",true,Approved,Giant Bicycles,Standard,medium,medium,"642,7","211,37"
339,65,2903,"04.12.2017",true,Approved,WeareA2B,Standard,medium,medium,"1807,45","778,69"
358,6,3425,"06.12.2017",true,Approved,OHM Cycles,Standard,high,medium,"227,88","136,73"
365,39,1995,"03.05.2017",true,Approved,Giant Bicycles,Standard,medium,large,"1812,75","582,48"
370,78,2993,"03.08.2017",true,Approved,Giant Bicycles,Standard,medium,large,"1765,3","709,48"
374,15,2567,"07.03.2017",false,Approved,Norco Bicycles,Standard,low,medium,"958,74","748,90"
375,17,3276,"05.07.2017",true,Approved,WeareA2B,Touring,medium,large,"1362,99","57,74"
376,0,1808,"09.02.2017",false,Approved,Solex,Standard,medium,medium,"478,16","298,72"
379,20,3270,"03.03.2017",false,Approved,Trek Bicycles,Standard,medium,small,"1775,81","1580,47"
382,83,309,"02.12.2017",true,Approved,Solex,Touring,medium,large,"2083,94","675,03"
386,13,892,"01.10.2017",false,Approved,Solex,Standard,medium,medium,"1163,89","589,27"
388,35,1033,"03.05.2017",true,Approved,Trek Bicycles,Standard,low,medium,"1057,51","154,40"
390,79,3015,"04.01.2017",false,Approved,Norco Bicycles,Standard,medium,medium,"1555,58","818,01"
401,82,3009,"05.05.2017",false,Approved,Giant Bicycles,Road,medium,medium,"1538,99","829,65"
409,23,1282,"08.05.2017",false,Approved,Norco Bicycles,Mountain,low,small,"688,63","612,88"
410,82,2377,"07.03.2017",false,Approved,Giant Bicycles,Road,medium,medium,"1538,99","829,65"
414,65,3249,"02.02.2017",true,Approved,WeareA2B,Standard,medium,medium,"1807,45","778,69"
415,76,2939,"01.10.2017",true,Approved,WeareA2B,Standard,low,medium,"642,31","513,85"
416,17,1035,"03.11.2017",true,Approved,Solex,Standard,high,medium,"1024,66","614,80"
417,73,492,"02.10.2017",false,Approved,Solex,Standard,medium,medium,"1945,43","333,18"
424,96,3415,"03.03.2017",true,Approved,Giant Bicycles,Standard,medium,large,"1635,3","993,66"
425,28,2828,"06.09.2017",false,Approved,Solex,Road,medium,small,"1703,52","1516,13"
439,33,2126,"05.12.2017",true,Approved,Giant Bicycles,Standard,medium,small,"1311,44","1167,18"
450,5,1655,"01.05.2017",false,Approved,Trek Bicycles,Mountain,low,medium,"574,64","459,71"
451,29,1194,"02.12.2017",true,Approved,Norco Bicycles,Road,medium,medium,"543,39","407,54"
454,9,1976,"03.05.2017",false,Approved,OHM Cycles,Road,medium,medium,"742,54","667,40"
460,21,1201,"07.08.2017",false,Approved,Solex,Standard,medium,large,"1071,23","380,74"
462,62,2794,"05.09.2017",true,Approved,Solex,Standard,medium,medium,"478,16","298,72"
468,53,2363,"02.11.2017",true,Approved,OHM Cycles,Standard,medium,medium,"795,34","101,58"
472,2,1304,"09.02.2017",true,Approved,Giant Bicycles,Road,low,small,"590,26","525,33"
474,18,1001,"07.10.2017",true,Approved,Solex,Standard,medium,medium,"575,27","431,45"
479,69,479,"08.09.2017",true,Approved,Giant Bicycles,Road,medium,medium,"792,9","594,68"
484,3,941,"04.05.2017",true,Approved,Trek Bicycles,Standard,medium,large,"2091,47","388,92"
493,44,2623,"03.12.2017",true,Approved,WeareA2B,Standard,medium,medium,"1769,64","108,76"
496,0,661,"08.11.2017",false,Approved,Norco Bicycles,Standard,low,medium,"363,01","290,41"
500,79,1446,"02.02.2017",true,Approved,Norco Bicycles,Standard,medium,medium,"1555,58","818,01"
503,87,2468,"07.08.2017",true,Approved,OHM Cycles,Standard,medium,medium,"1636,9","44,71"
506,66,1853,"04.12.2017",false,Approved,Giant Bicycles,Road,low,small,"590,26","525,33"
507,71,3468,"02.09.2017",true,Approved,Solex,Standard,high,large,"1842,92","1105,75"
511,24,683,"04.07.2017",true,Approved,Solex,Road,medium,large,"1777,8","820,78"
512,62,1020,"02.10.2017",true,Approved,Solex,Standard,medium,medium,"478,16","298,72"
514,57,1679,"02.01.2017",true,Approved,WeareA2B,Touring,medium,large,"1890,39","260,14"
516,43,1591,"03.05.2017",false,Approved,Solex,Standard,medium,medium,"1151,96","649,49"
523,84,2234,"07.01.2017",true,Approved,Trek Bicycles,Road,medium,medium,"290,62","215,14"
526,20,827,"02.04.2017",true,Approved,Trek Bicycles,Standard,medium,small,"1775,81","1580,47"
528,42,2233,"04.05.2017",true,Approved,OHM Cycles,Road,medium,small,"1810","1610,90"
529,6,103,"03.06.2017",true,Approved,OHM Cycles,Standard,high,medium,"227,88","136,73"
533,57,3381,"09.02.2017",false,Approved,WeareA2B,Touring,medium,large,"1890,39","260,14"
534,14,1517,"08.04.2017",false,Approved,Trek Bicycles,Standard,medium,small,"1386,84","1234,29"
536,36,1018,"03.12.2017",true,Approved,Solex,Standard,low,medium,"945,04","507,58"
539,38,1312,"04.09.2017",true,Approved,Solex,Standard,medium,medium,"1577,53","826,51"
540,40,682,"02.09.2017",true,Approved,OHM Cycles,Standard,high,medium,"1458,17","874,90"
542,96,1555,"08.07.2017",false,Approved,Giant Bicycles,Standard,medium,large,"1635,3","993,66"
543,45,246,"03.12.2017",false,Approved,Trek Bicycles,Road,low,medium,"980,37","234,43"
548,89,867,"06.03.2017",true,Approved,WeareA2B,Touring,medium,large,"1362,99","57,74"
550,77,2839,"05.09.2017",false,Approved,Norco Bicycles,Road,medium,large,"1240,31","795,10"
555,90,1198,"08.05.2017",true,Approved,Solex,Standard,low,medium,"945,04","507,58"
556,91,359,"04.09.2017",false,Approved,Solex,Standard,medium,medium,"100,35","75,26"
563,97,3071,"05.04.2017",false,Approved,Solex,Standard,medium,large,"202,62","151,96"
567,12,252,"09.03.2017",false,Approved,WeareA2B,Standard,medium,medium,"1231,15","161,60"
568,10,1032,"04.08.2017",true,Approved,WeareA2B,Touring,medium,medium,"1466,68","363,25"
569,76,1094,"08.05.2017",false,Approved,WeareA2B,Road,low,small,"1172,78","1043,77"
573,89,2271,"06.07.2017",false,Approved,WeareA2B,Touring,medium,large,"1362,99","57,74"
577,1,149,"04.05.2017",false,Approved,Giant Bicycles,Standard,medium,medium,"1403,5","954,82"
582,9,1224,"03.08.2017",true,Approved,OHM Cycles,Road,medium,medium,"742,54","667,40"
589,7,854,"04.10.2017",false,Approved,Trek Bicycles,Road,low,medium,"980,37","234,43"
598,15,1665,"03.01.2017",true,Approved,Norco Bicycles,Standard,low,medium,"958,74","748,90"
599,45,1059,"08.12.2017",true,Approved,Trek Bicycles,Road,low,medium,"980,37","234,43"
604,96,2490,"04.03.2017",true,Approved,WeareA2B,Road,low,small,"1172,78","1043,77"
611,85,368,"06.12.2017",true,Approved,WeareA2B,Standard,medium,medium,"1228,07","400,91"
613,91,904,"03.03.2017",false,Approved,WeareA2B,Standard,low,medium,"642,31","513,85"
614,24,2536,"08.03.2017",true,Approved,Solex,Road,medium,large,"1777,8","820,78"
636,35,2836,"02.07.2017",false,Approved,Trek Bicycles,Standard,low,medium,"1057,51","154,40"
640,95,760,"05.09.2017",false,Approved,Giant Bicycles,Standard,medium,large,"569,56","528,43"
642,30,1570,"05.09.2017",false,Approved,Solex,Standard,high,medium,"748,17","448,90"
647,54,2175,"05.03.2017",true,Approved,WeareA2B,Standard,medium,medium,"1292,84","13,44"
649,53,606,"01.11.2017",false,Approved,OHM Cycles,Standard,medium,medium,"795,34","101,58"
658,30,3076,"04.06.2017",false,Approved,Solex,Standard,high,medium,"748,17","448,90"
668,69,3190,"03.03.2017",false,Approved,Giant Bicycles,Road,medium,medium,"792,9","594,68"
669,68,3420,"07.04.2017",false,Approved,OHM Cycles,Standard,medium,medium,"1636,9","44,71"
671,67,2874,"09.04.2017",false,Approved,Norco Bicycles,Road,medium,medium,"544,05","376,84"
673,61,1952,"08.07.2017",true,Approved,OHM Cycles,Standard,low,medium,"71,16","56,93"
674,69,1618,"02.12.2017",true,Approved,Giant Bicycles,Road,medium,medium,"792,9","594,68"
675,0,1817,"05.07.2017",true,Approved,OHM Cycles,Standard,medium,medium,"183,86","137,90"
677,0,2609,"02.07.2017",false,Approved,"","","","","1972,01",""
678,61,626,"06.08.2017",false,Approved,OHM Cycles,Standard,low,medium,"71,16","56,93"
681,75,3085,"05.12.2017",true,Approved,Giant Bicycles,Touring,medium,large,"1873,97","863,95"
688,40,836,"01.08.2017",false,Approved,OHM Cycles,Standard,high,medium,"1458,17","874,90"
696,64,1400,"06.07.2017",false,Approved,Trek Bicycles,Standard,medium,large,"1469,44","596,55"
698,88,623,"02.07.2017",true,Approved,Norco Bicycles,Standard,high,small,"1661,92","1479,11"
700,58,2153,"02.08.2017",true,Approved,OHM Cycles,Standard,medium,medium,"912,52","141,40"
702,54,2368,"05.01.2017",true,Approved,WeareA2B,Standard,medium,medium,"1292,84","13,44"
703,24,211,"02.10.2017",true,Approved,Solex,Road,medium,large,"1777,8","820,78"
704,0,1874,"01.08.2017",false,Approved,Trek Bicycles,Road,medium,medium,"533,51","400,13"
706,54,1329,"05.01.2017",true,Approved,WeareA2B,Standard,medium,medium,"1292,84","13,44"
708,80,2587,"02.06.2017",true,Approved,OHM Cycles,Touring,low,medium,"1073,07","933,84"
711,35,1117,"05.05.2017",true,Approved,Trek Bicycles,Standard,low,medium,"1057,51","154,40"
713,47,2638,"06.06.2017",true,Approved,Trek Bicycles,Road,low,small,"1720,7","1531,42"
716,91,1929,"08.09.2017",true,Approved,Solex,Standard,medium,medium,"100,35","75,26"
719,95,1753,"03.12.2017",false,Approved,OHM Cycles,Touring,low,medium,"1073,07","933,84"
722,27,633,"04.01.2017",false,Approved,Trek Bicycles,Standard,low,medium,"1057,51","154,40"
731,0,411,"09.02.2017",false,Approved,Trek Bicycles,Road,medium,medium,"533,51","400,13"
732,35,1644,"08.12.2017",false,Approved,Trek Bicycles,Standard,low,medium,"1057,51","154,40"
740,3,2908,"06.02.2017",true,Approved,Trek Bicycles,Standard,medium,large,"2091,47","388,92"
741,56,1340,"02.12.2017",true,Approved,Norco Bicycles,Mountain,low,small,"688,63","612,88"
745,69,255,"03.11.2017",false,Approved,Giant Bicycles,Road,medium,medium,"792,9","594,68"
754,85,1192,"02.09.2017",false,Approved,WeareA2B,Standard,medium,medium,"752,64","205,36"
759,94,3435,"05.07.2017",true,Approved,Giant Bicycles,Standard,medium,large,"1635,3","993,66"
767,31,2554,"06.04.2017",true,Approved,WeareA2B,Standard,medium,medium,"752,64","205,36"
769,69,285,"09.01.2017",true,Approved,Giant Bicycles,Road,medium,medium,"792,9","594,68"
774,12,3402,"06.10.2017",false,Approved,WeareA2B,Standard,medium,medium,"1231,15","161,60"
775,31,94,"04.09.2017",true,Approved,Giant Bicycles,Standard,medium,medium,"230,91","173,18"
777,35,3335,"04.02.2017",true,Approved,Trek Bicycles,Standard,low,medium,"1057,51","154,40"
778,90,1580,"05.11.2017",false,Approved,Solex,Standard,low,medium,"945,04","507,58"
780,94,1608,"01.10.2017",false,Approved,Giant Bicycles,Standard,medium,large,"1635,3","993,66"
783,0,2453,"07.08.2017",false,Approved,Giant Bicycles,Standard,medium,large,"569,56","528,43"
784,81,2755,"05.11.2017",true,Approved,Norco Bicycles,Standard,medium,small,"586,45","521,94"
785,34,3094,"03.02.2017",true,Approved,Norco Bicycles,Road,high,large,"774,53","464,72"
789,69,1877,"03.07.2017",true,Approved,Norco Bicycles,Road,medium,large,"1240,31","795,10"
797,30,269,"08.02.2017",false,Approved,Solex,Standard,high,medium,"748,17","448,90"
798,3,729,"06.11.2017",true,Approved,Trek Bicycles,Standard,medium,large,"2091,47","388,92"
799,3,2508,"04.11.2017",true,Approved,Trek Bicycles,Standard,medium,large,"2091,47","388,92"
800,87,1200,"03.08.2017",false,Approved,OHM Cycles,Standard,medium,medium,"1636,9","44,71"
816,95,892,"08.09.2017",true,Approved,Giant Bicycles,Standard,medium,large,"569,56","528,43"
817,18,2672,"07.05.2017",false,Approved,Solex,Standard,medium,medium,"575,27","431,45"
820,32,3467,"08.10.2017",false,Approved,Giant Bicycles,Standard,medium,medium,"642,7","211,37"
823,51,56,"07.05.2017",false,Approved,OHM Cycles,Standard,high,medium,"2005,66","1203,40"
825,30,513,"03.01.2017",true,Approved,Solex,Standard,high,medium,"748,17","448,90"
827,27,532,"03.08.2017",true,Approved,Trek Bicycles,Standard,medium,medium,"499,53","388,72"
829,1,1060,"04.02.2017",false,Approved,Giant Bicycles,Standard,medium,medium,"1403,5","954,82"
830,82,2509,"08.11.2017",true,Approved,Norco Bicycles,Standard,high,medium,"1148,64","689,18"
839,54,1779,"03.01.2017",false,Approved,WeareA2B,Standard,medium,medium,"1292,84","13,44"
840,30,3263,"07.12.2017",true,Approved,Solex,Standard,high,medium,"748,17","448,90"
842,0,294,"06.09.2017",true,Approved,Trek Bicycles,Road,medium,medium,"533,51","400,13"
850,93,2207,"08.02.2017",false,Approved,WeareA2B,Standard,medium,medium,"1065,03","230,09"
863,100,2412,"07.03.2017",true,Approved,Norco Bicycles,Road,medium,medium,"1036,59","206,35"
864,95,565,"03.01.2017",false,Approved,Giant Bicycles,Standard,medium,large,"569,56","528,43"
876,40,2341,"02.07.2017",true,Approved,OHM Cycles,Standard,high,medium,"1458,17","874,90"
878,1,1980,"06.06.2017",true,Approved,Giant Bicycles,Touring,medium,large,"1873,97","863,95"
896,53,43,"04.01.2017",false,Approved,OHM Cycles,Standard,medium,medium,"795,34","101,58"
897,46,1935,"02.10.2017",true,Approved,Solex,Standard,low,medium,"1289,85","74,51"
898,0,1710,"03.04.2017",true,Approved,Norco Bicycles,Road,medium,medium,"543,39","407,54"
901,59,3433,"09.02.2017",false,Approved,Solex,Standard,medium,large,"1061,56","733,58"
904,67,3195,"02.04.2017",false,Approved,Norco Bicycles,Road,medium,medium,"544,05","376,84"
922,9,1527,"04.03.2017",false,Approved,OHM Cycles,Road,medium,medium,"742,54","667,40"
923,69,1181,"04.06.2017",true,Approved,Giant Bicycles,Road,medium,medium,"792,9","594,68"
928,80,1363,"04.10.2017",true,Approved,OHM Cycles,Touring,low,medium,"1073,07","933,84"
929,24,2599,"07.11.2017",true,Approved,Solex,Road,medium,large,"1777,8","820,78"
930,0,907,"04.12.2017",false,Approved,WeareA2B,Standard,medium,small,"175,89","131,92"
932,50,2494,"04.08.2017",true,Approved,Giant Bicycles,Standard,medium,medium,"642,7","211,37"
935,78,69,"05.06.2017",false,Approved,Giant Bicycles,Standard,medium,large,"1765,3","709,48"
936,2,2545,"09.03.2017",false,Approved,Solex,Standard,medium,medium,"71,49","53,62"
943,48,2954,"08.04.2017",false,Approved,WeareA2B,Standard,medium,medium,"1762,96","950,52"
948,97,1601,"09.04.2017",false,Approved,Solex,Standard,medium,large,"202,62","151,96"
955,76,1650,"03.03.2017",false,Approved,WeareA2B,Road,low,small,"1172,78","1043,77"
973,82,501,"01.07.2017",true,Approved,Giant Bicycles,Road,medium,medium,"1538,99","829,65"
974,39,2860,"01.12.2017",false,Approved,Giant Bicycles,Standard,medium,large,"1812,75","582,48"
989,64,499,"08.01.2017",true,Approved,Trek Bicycles,Standard,medium,large,"1469,44","596,55"
991,89,2957,"02.01.2017",true,Approved,WeareA2B,Touring,medium,large,"1362,99","57,74"
995,3,1558,"05.10.2017",false,Approved,Trek Bicycles,Standard,medium,large,"2091,47","388,92"
998,11,1041,"03.01.2017",false,Approved,Giant Bicycles,Standard,high,medium,"1274,93","764,96"
1001,33,452,"06.12.2017",true,Approved,Giant Bicycles,Standard,medium,small,"1311,44","1167,18"
1007,53,1617,"04.12.2017",false,Approved,OHM Cycles,Standard,medium,medium,"795,34","101,58"
1011,88,2057,"05.06.2017",true,Approved,Norco Bicycles,Standard,medium,medium,"1198,46","381,10"
1019,88,99,"04.09.2017",false,Approved,Norco Bicycles,Standard,medium,medium,"1198,46","381,10"
1022,44,2401,"08.12.2017",true,Approved,WeareA2B,Standard,medium,medium,"1769,64","108,76"
1023,23,1395,"04.10.2017",true,Approved,Norco Bicycles,Standard,medium,medium,"1198,46","381,10"
1029,17,135,"09.01.2017",false,Approved,Solex,Standard,high,medium,"1024,66","614,80"
1030,49,2438,"03.12.2017",false,Approved,Trek Bicycles,Road,medium,medium,"533,51","400,13"
1035,0,667,"07.01.2017",false,Approved,Solex,Standard,medium,medium,"71,49","53,62"
1039,8,34,"01.07.2017",true,Approved,Solex,Road,medium,small,"1703,52","1516,13"
1040,38,2384,"08.05.2017",true,Approved,Trek Bicycles,Standard,medium,large,"2091,47","388,92"
1044,54,1839,"01.04.2017",true,Approved,WeareA2B,Standard,medium,medium,"1807,45","778,69"
1046,67,917,"05.06.2017",false,Approved,Norco Bicycles,Road,medium,medium,"544,05","376,84"
1049,97,1107,"07.04.2017",true,Approved,OHM Cycles,Road,medium,medium,"742,54","667,40"
1050,6,140,"07.01.2017",false,Approved,OHM Cycles,Standard,high,medium,"227,88","136,73"
1054,77,1129,"04.12.2017",true,Approved,Norco Bicycles,Road,medium,large,"1240,31","795,10"
1058,96,976,"06.07.2017",true,Approved,WeareA2B,Road,low,small,"1172,78","1043,77"
1060,34,235,"07.06.2017",false,Approved,Norco Bicycles,Road,high,large,"774,53","464,72"
1063,58,533,"08.07.2017",true,Approved,OHM Cycles,Standard,medium,medium,"912,52","141,40"
1064,38,2977,"04.10.2017",true,Approved,Solex,Standard,medium,medium,"1577,53","826,51"
1065,0,1173,"01.09.2017",true,Approved,OHM Cycles,Standard,high,medium,"227,88","136,73"
1067,19,1071,"07.11.2017",false,Approved,Trek Bicycles,Mountain,low,medium,"574,64","459,71"
1073,80,794,"05.04.2017",true,Approved,OHM Cycles,Touring,low,medium,"1073,07","933,84"
1074,33,931,"05.04.2017",false,Approved,Giant Bicycles,Standard,medium,small,"1311,44","1167,18"
1075,11,2174,"04.09.2017",false,Approved,Trek Bicycles,Standard,medium,small,"1775,81","1580,47"
1076,91,2650,"04.03.2017",false,Approved,Solex,Standard,medium,medium,"100,35","75,26"
1084,96,2815,"08.01.2017",false,Approved,WeareA2B,Road,low,small,"1172,78","1043,77"
1094,31,3247,"08.08.2017",false,Approved,Giant Bicycles,Standard,medium,medium,"230,91","173,18"
4607,19,835,"05.05.2017",true,Approved,OHM Cycles,Road,high,large,"12,01","7,21"
1097,27,3034,"01.08.2017",false,Approved,Trek Bicycles,Standard,medium,medium,"499,53","388,72"
1101,17,1382,"01.05.2017",false,Approved,WeareA2B,Touring,medium,large,"1362,99","57,74"
1105,0,469,"05.02.2017",true,Approved,OHM Cycles,Road,high,large,"12,01","7,21"
1112,74,1726,"04.09.2017",false,Approved,WeareA2B,Standard,medium,medium,"1762,96","950,52"
1117,14,1634,"01.12.2017",false,Approved,Trek Bicycles,Standard,medium,small,"1386,84","1234,29"
1121,27,1729,"04.03.2017",true,Approved,Trek Bicycles,Standard,low,medium,"1057,51","154,40"
1125,41,1273,"07.04.2017",true,Approved,Solex,Road,medium,medium,"416,98","312,74"
1131,0,2163,"09.03.2017",false,Approved,"","","","","605,54",""
1141,45,2735,"04.08.2017",true,Approved,Trek Bicycles,Road,low,medium,"980,37","234,43"
1143,0,2912,"02.05.2017",false,Approved,OHM Cycles,Road,high,large,"12,01","7,21"
1146,37,2508,"04.08.2017",true,Approved,OHM Cycles,Standard,low,medium,"1793,43","248,82"
1150,69,3084,"06.03.2017",false,Approved,Giant Bicycles,Road,medium,medium,"792,9","594,68"
1153,79,1114,"03.01.2017",false,Approved,Norco Bicycles,Standard,medium,medium,"1555,58","818,01"
